hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02867,2019-02-01 00:05:18,2019-02-01 00:14:57,245,251,
HV0003,B02879,2019-02-01 00:41:29,2019-02-01 00:49:39,216,197,
HV0005,B02510,2019-02-01 00:51:34,2019-02-01 01:28:29,261,234,
HV0005,B02510,2019-02-01 00:03:51,2019-02-01 00:07:16,87,87,
HV0004,B02800,2019-03-01 00:13:55,2019-03-01 00:28:51,36,80,1
HV0004,B02800,2019-03-01 00:23:58,2019-03-01 00:43:03,37,232,1
HV0005,B02510,2019-03-01 00:03:37,2019-03-01 00:15:09,25,62,
HV0003,B02884,2019-03-01 00:29:46,2019-03-01 00:50:43,65,262,
HV0005,B02510,2019-04-01 00:11:25,2019-04-01 00:21:56,52,97,
HV0005,B02510,2019-04-01 00:28:57,2019-04-01 00:52:24,97,239,
HV0005,B02510,2019-04-01 00:59:25,2019-04-01 01:29:54,238,61,
HV0005,B02510,2019-04-01 00:53:14,2019-04-01 00:57:02,212,213,1
HV0005,B02510,2019-05-01 00:03:11,2019-05-01 00:32:51,88,92,
HV0003,B02764,2019-05-01 00:10:14,2019-05-01 00:17:00,177,225,
HV0003,B02764,2019-05-01 00:19:04,2019-05-01 00:24:08,225,36,
HV0003,B02764,2019-05-01 00:57:04,2019-05-01 01:04:50,13,144,
HV0002,B03035,2019-06-01 00:40:55,2019-06-01 01:03:58,256,87,
HV0005,B02510,2019-06-01 00:04:47,2019-06-01 00:25:53,163,265,
HV0005,B02510,2019-06-01 00:48:00,2019-06-01 00:59:49,132,216,1
HV0002,B03035,2019-06-01 00:59:25,2019-06-01 01:04:07,152,116,
HV0003,B02884,2019-07-01 00:12:33,2019-07-01 00:25:00,228,89,
